name	x	y	z	size
EEG EKG1-Ref	n/a	n/a	n/a	n/a
EEG EKG2-Ref	n/a	n/a	n/a	n/a
EEG LCZ 01-Ref	-13.0145	-43.8393	83.2155212722208	n/a
EEG LCZ 02-Ref	-22.5835	-36.9109	77.8272803946773	n/a
EEG LCZ 03-Ref	-29.0684	-32.0855	75.303823365543	n/a
EEG LCZ 04-Ref	-34.1992	-24.6993	70.3888385468785	n/a
EEG LFP 01-Ref	-16.4384	69.94	-14.8509715119009	n/a
EEG LFP 02-Ref	-27.0316	64.9484	-14.6002210277167	n/a
EEG LFP 03-Ref	-36.8848	62.4442	-12.8578950926917	n/a
EEG LFP 04-Ref	-44.8201	58.7185	-7.67631674625971	n/a
EEG LFP 05-Ref	-48.8903	49.6551	-2.8462952898645	n/a
EEG LFP 06-Ref	-52.9412	36.77	1.26368908221106	n/a
EEG LG 01-Ref	-42.5056	-31.7807	62.3623179360378	n/a
EEG LG 02-Ref	-45.5591	-21.0363	58.0805186280787	n/a
EEG LG 03-Ref	-45.8829	-11.9834	54.2994647578308	n/a
EEG LG 04-Ref	-46.6788	-2.59366	52.5713458729111	n/a
EEG LG 05-Ref	-43.9148	7.92201	48.5063464523877	n/a
EEG LG 06-Ref	-43.403	12.5694	45.1302188154237	n/a
EEG LG 07-Ref	-41.0084	21.2354	42.8986467927253	n/a
EEG LG 08-Ref	-38.8727	33.6205	37.0340695929095	n/a
EEG LG 09-Ref	-47.5088	-32.2963	56.0595322358924	n/a
EEG LG 10-Ref	-50.4986	-22.8873	49.8251275738734	n/a
EEG LG 11-Ref	-51.3894	-11.6333	44.6738325861899	n/a
EEG LG 12-Ref	-50.0167	-1.7412	43.9452370981272	n/a
EEG LG 13-Ref	-46.3369	8.11768	40.488905002359	n/a
EEG LG 14-Ref	-45.5357	13.3723	38.5584414982936	n/a
EEG LG 15-Ref	-42.5606	21.4695	37.5760851972183	n/a
EEG LG 16-Ref	-43.2932	31.8335	27.2767077416242	n/a
EEG LG 17-Ref	-48.2473	-36.3454	46.9196587519755	n/a
EEG LG 18-Ref	-53.4494	-24.4104	42.2050563570367	n/a
EEG LG 19-Ref	-54.4632	-13.641	35.5914594503694	n/a
EEG LG 20-Ref	-53.339	-3.79131	33.7473214643272	n/a
EEG LG 21-Ref	-53.9639	1.62642	28.7080579868444	n/a
EEG LG 22-Ref	-51.7923	8.96689	26.5368409230955	n/a
EEG LG 23-Ref	-49.5729	19.7062	24.1355306275841	n/a
EEG LG 24-Ref	-50.0302	25.889	13.6747635993427	n/a
EEG LG 25-Ref	-55.4092	-39.3597	36.3285549715237	n/a
EEG LG 26-Ref	-56.5098	-26.4058	32.2398524089088	n/a
EEG LG 27-Ref	-59.1721	-13.9695	25.5979163466141	n/a
EEG LG 28-Ref	-59.0443	-8.87876	21.280386863415	n/a
EEG LG 29-Ref	-57.9336	-0.302374	16.5406026977857	n/a
EEG LG 30-Ref	-58.9118	5.90906	11.4184900133657	n/a
EEG LG 31-Ref	-55.5868	13.5268	7.59965605391812	n/a
EEG LG 32-Ref	-54.2577	23.7361	3.46791042223417	n/a
EEG LG 33-Ref	-62.5612	-42.8055	25.7625002728366	n/a
EEG LG 34-Ref	-64.0753	-30.4159	22.3209325749921	n/a
EEG LG 35-Ref	-64.2842	-19.1085	17.3822677073016	n/a
EEG LG 36-Ref	-61.8945	-12.9868	9.32671077978616	n/a
EEG LG 37-Ref	-60.1979	-2.59045	4.42635852461343	n/a
EEG LG 38-Ref	-60.8693	3.8582	0.0569916910589334	n/a
EEG LG 39-Ref	-57.6335	10.2126	-6.34199699138764	n/a
EEG LG 40-Ref	-54.5566	17.363	-6.97451294437676	n/a
EEG LG 41-Ref	-66.1832	-42.0356	16.5772711617183	n/a
EEG LG 42-Ref	-66.9441	-32.0839	11.9264583968534	n/a
EEG LG 43-Ref	-66.6702	-25.7331	4.43687442134324	n/a
EEG LG 44-Ref	-63.2751	-15.6106	0.78140341006731	n/a
EEG LG 45-Ref	-62.4456	-8.89891	-10.2388689017707	n/a
EEG LG 46-Ref	-61.1199	-1.19373	-10.4065998241926	n/a
EEG LG 47-Ref	-57.4327	7.46819	-14.2169938606465	n/a
EEG LG 48-Ref	-55.1629	16.8274	-18.5171096321955	n/a
EEG LG 49-Ref	-66.5073	-44.7181	6.59730659585865	n/a
EEG LG 50-Ref	-66.7448	-35.1211	1.64816763745583	n/a
EEG LG 51-Ref	-68.7042	-29.1028	-7.80088027628976	n/a
EEG LG 52-Ref	-68.0819	-21.6659	-11.9905436413193	n/a
EEG LG 53-Ref	-64.7821	-13.5225	-16.8746711051162	n/a
EEG LG 54-Ref	-60.9521	-4.22233	-16.8032798350214	n/a
EEG LG 55-Ref	-56.1856	4.91397	-21.6682318950577	n/a
EEG LG 56-Ref	-56.101	14.1769	-27.9490881756632	n/a
EEG LG 57-Ref	-60.8024	-49.2276	-4.26590405221805	n/a
EEG LG 58-Ref	-62.6589	-40.0446	-7.56010938939331	n/a
EEG LG 59-Ref	-64.5733	-32.0007	-18.480078290798	n/a
EEG LG 60-Ref	-64.8276	-24.9481	-21.224351803176	n/a
EEG LG 61-Ref	-61.3158	-17.3408	-24.1931412340389	n/a
EEG LG 62-Ref	-60.9808	-7.69612	-25.5367323706244	n/a
EEG LG 63-Ref	-58.2651	0.441538	-32.9782187324131	n/a
EEG LG 64-Ref	-54.7518	10.9754	-39.6105619916039	n/a
EEG LST 01-Ref	-34.3827	17.9283	-45.7879001131756	n/a
EEG LST 02-Ref	-41.2269	9.80987	-47.412122950774	n/a
EEG LST 03-Ref	-50.3558	5.34472	-47.9734428452793	n/a
EEG LST 04-Ref	-56.5176	-3.42795	-42.9215558694444	n/a
EEG RR-Ref	n/a	n/a	n/a	n/a
EEG Rate-Ref	n/a	n/a	n/a	n/a
