name	x	y	z	size
EEG AD 01-Ref	21.3991	-9.42165	-25.336167160562	n/a
EEG AD 02-Ref	25.0849	-8.11704	-24.7547740039279	n/a
EEG AD 03-Ref	29.0768	-6.94579	-24.2118524908944	n/a
EEG AD 04-Ref	35.3531	-5.33296	-26.688494712177	n/a
EEG AOF 01-Ref	19.0642	59.7111	-19.7017983301907	n/a
EEG AOF 02-Ref	30.2593	52.3844	-18.0034413521984	n/a
EEG AOF 03-Ref	39.2262	46.7169	-13.2082338160152	n/a
EEG AOF 04-Ref	49.3642	43.6054	-6.47875382331495	n/a
EEG AS 01-Ref	n/a	n/a	n/a	n/a
EEG AS 02-Ref	n/a	n/a	n/a	n/a
EEG AS 03-Ref	n/a	n/a	n/a	n/a
EEG AS 04-Ref	n/a	n/a	n/a	n/a
EEG EKG 01-Ref	n/a	n/a	n/a	n/a
EEG EKG 02-Ref	n/a	n/a	n/a	n/a
EEG FD 01-Ref	1.97332	60.3989	-25.9864142713412	n/a
EEG FD 02-Ref	6.68375	60.3587	-26.1691817599805	n/a
EEG FD 03-Ref	11.2782	59.6943	-24.3304584564064	n/a
EEG FD 04-Ref	14.5324	58.5628	-20.8415538729388	n/a
EEG HD 01-Ref	25.1054	-18.95	-26.3917439055548	n/a
EEG HD 02-Ref	28.0147	-17.156	-25.0638868491037	n/a
EEG HD 03-Ref	32.4022	-17.0416	-25.8994598528913	n/a
EEG HD 04-Ref	37.5037	-16.5642	-26.3707135068359	n/a
EEG MS 01-Ref	n/a	n/a	n/a	n/a
EEG MS 02-Ref	n/a	n/a	n/a	n/a
EEG MS 03-Ref	n/a	n/a	n/a	n/a
EEG MS 04-Ref	n/a	n/a	n/a	n/a
EEG POF 01-Ref	13.0098	32.5067	-27.3644338482405	n/a
EEG POF 02-Ref	24.8872	30.6739	-26.9817914397813	n/a
EEG POF 03-Ref	32.3294	27.7983	-21.1524698998428	n/a
EEG POF 04-Ref	41.9049	24.9501	-13.7294214560127	n/a
EEG POF 05-Ref	50.5061	22.8262	-6.58576894225968	n/a
EEG POF 06-Ref	57.2835	18.4428	2.20397280344787	n/a
EEG PT 01-Ref	51.7253	-79.1133	8.9877292070575	n/a
EEG PT 02-Ref	56.9597	-68.2266	9.6832510713431	n/a
EEG PT 03-Ref	59.3965	-60.1544	8.96027975620374	n/a
EEG PT 04-Ref	61.8665	-52.8315	12.0530657977613	n/a
EEG RG 01-Ref	n/a	n/a	n/a	n/a
EEG RG 02-Ref	n/a	n/a	n/a	n/a
EEG RG 03-Ref	n/a	n/a	n/a	n/a
EEG RG 04-Ref	n/a	n/a	n/a	n/a
EEG RG 05-Ref	n/a	n/a	n/a	n/a
EEG RG 06-Ref	n/a	n/a	n/a	n/a
EEG RG 07-Ref	n/a	n/a	n/a	n/a
EEG RG 08-Ref	n/a	n/a	n/a	n/a
EEG RG 09-Ref	n/a	n/a	n/a	n/a
EEG RG 10-Ref	n/a	n/a	n/a	n/a
EEG RG 11-Ref	n/a	n/a	n/a	n/a
EEG RG 12-Ref	n/a	n/a	n/a	n/a
EEG RG 13-Ref	n/a	n/a	n/a	n/a
EEG RG 14-Ref	n/a	n/a	n/a	n/a
EEG RG 15-Ref	n/a	n/a	n/a	n/a
EEG RG 16-Ref	n/a	n/a	n/a	n/a
EEG RG 17-Ref	n/a	n/a	n/a	n/a
EEG RG 18-Ref	n/a	n/a	n/a	n/a
EEG RG 19-Ref	n/a	n/a	n/a	n/a
EEG RG 20-Ref	n/a	n/a	n/a	n/a
EEG RG 21-Ref	n/a	n/a	n/a	n/a
EEG RG 22-Ref	n/a	n/a	n/a	n/a
EEG RG 23-Ref	n/a	n/a	n/a	n/a
EEG RG 24-Ref	n/a	n/a	n/a	n/a
EEG RG 25-Ref	n/a	n/a	n/a	n/a
EEG RG 26-Ref	n/a	n/a	n/a	n/a
EEG RG 27-Ref	n/a	n/a	n/a	n/a
EEG RG 28-Ref	n/a	n/a	n/a	n/a
EEG RG 29-Ref	n/a	n/a	n/a	n/a
EEG RG 30-Ref	n/a	n/a	n/a	n/a
EEG RG 31-Ref	n/a	n/a	n/a	n/a
EEG RG 32-Ref	n/a	n/a	n/a	n/a
EEG RG 33-Ref	n/a	n/a	n/a	n/a
EEG RG 34-Ref	n/a	n/a	n/a	n/a
EEG RG 35-Ref	n/a	n/a	n/a	n/a
EEG RG 36-Ref	n/a	n/a	n/a	n/a
EEG RG 37-Ref	n/a	n/a	n/a	n/a
EEG RG 38-Ref	n/a	n/a	n/a	n/a
EEG RG 39-Ref	n/a	n/a	n/a	n/a
EEG RG 40-Ref	n/a	n/a	n/a	n/a
EEG RG 41-Ref	n/a	n/a	n/a	n/a
EEG RG 42-Ref	n/a	n/a	n/a	n/a
EEG RG 43-Ref	n/a	n/a	n/a	n/a
EEG RG 44-Ref	n/a	n/a	n/a	n/a
EEG RG 45-Ref	n/a	n/a	n/a	n/a
EEG RG 46-Ref	n/a	n/a	n/a	n/a
EEG RG 47-Ref	n/a	n/a	n/a	n/a
EEG RG 48-Ref	n/a	n/a	n/a	n/a
EEG RG 49-Ref	n/a	n/a	n/a	n/a
EEG RG 50-Ref	n/a	n/a	n/a	n/a
EEG RG 51-Ref	n/a	n/a	n/a	n/a
EEG RG 52-Ref	n/a	n/a	n/a	n/a
EEG RG 53-Ref	n/a	n/a	n/a	n/a
EEG RG 54-Ref	n/a	n/a	n/a	n/a
EEG RG 55-Ref	n/a	n/a	n/a	n/a
EEG RG 56-Ref	n/a	n/a	n/a	n/a
EEG RG 57-Ref	n/a	n/a	n/a	n/a
EEG RG 58-Ref	n/a	n/a	n/a	n/a
EEG RG 59-Ref	n/a	n/a	n/a	n/a
EEG RG 60-Ref	n/a	n/a	n/a	n/a
EEG RG 63-Ref	n/a	n/a	n/a	n/a
EEG RG 64-Ref	n/a	n/a	n/a	n/a
