name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
C3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
CZ	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
ECG1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
ECG2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
F3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
F7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
FZ	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA4	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA5	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA6	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA7	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
LA8	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
O1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
P3	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
PZ	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RA1	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RA2	SEEG	µV	0.0	128.0	StereoEEG	256.0	good	n/a
RA3	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RA4	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RA5	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RA6	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RA7	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RA8	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RB1	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RB2	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RB3	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RB4	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
RB5	SEEG	µV	0.0	128.0	StereoEEG	256.0	bad	n/a
