name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
EEG AD 01-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AD 02-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AD 03-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AD 04-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AD 05-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AD 06-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AD 07-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AD 08-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AIT 01-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AIT 02-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AIT 03-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AIT 04-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AIT 05-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG AIT 06-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	bad	n/a
EEG EKG 01-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG EKG 02-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG FOP 01-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG FOP 02-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG FOP 03-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG FOP 04-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG FOP 05-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG FOP 06-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG FOP 07-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG FOP 08-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 01-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 02-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 03-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 04-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 05-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 06-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 07-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 08-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 09-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 10-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 11-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 12-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
EEG GRID 13-Ref	ECOG	µV	0.0	128.0	Electrocorticography	256.0	good	n/a
