name	x	y	z	size
EEG EKG 01-Ref	n/a	n/a	n/a	n/a
EEG EKG 02-Ref	n/a	n/a	n/a	n/a
EEG LA 01-Ref	-22.341	-2.8889	-21.13814154	n/a
EEG LA 02-Ref	-26.3254	-3.34636	-21.56329697	n/a
EEG LA 03-Ref	-32.264	-2.75504	-21.3635429	n/a
EEG LA 04-Ref	-39.4749	-3.20377	-19.62962309	n/a
EEG LAST 01-Ref	-22.5174	-1.89477	-42.85092457	n/a
EEG LAST 02-Ref	-29.6351	1.19618	-51.83956542	n/a
EEG LAST 03-Ref	-41.286	3.08106	-49.42656512	n/a
EEG LAST 04-Ref	-51.2805	5.49132	-43.97185719	n/a
EEG LG 01-Ref	-36.6962	-54.9247	65.93820438	n/a
EEG LG 02-Ref	-39.8391	-47.569	63.6978677	n/a
EEG LG 03-Ref	-38.7974	-33.5435	65.08777257	n/a
EEG LG 04-Ref	-41.4614	-24.0573	64.25262599	n/a
EEG LG 05-Ref	-42.2285	-12.6289	62.03616204	n/a
EEG LG 06-Ref	-36.279	-2.54257	59.67593152	n/a
EEG LG 07-Ref	-29.5272	6.83792	56.83708461	n/a
EEG LG 08-Ref	-32.1826	16.1741	50.76470077	n/a
EEG LG 09-Ref	-44.8863	-53.2206	56.93113045	n/a
EEG LG 10-Ref	-47.2337	-44.9634	56.37441509	n/a
EEG LG 11-Ref	-46.4301	-33.072	58.2908538	n/a
EEG LG 12-Ref	-48.5634	-25.1504	55.96674088	n/a
EEG LG 13-Ref	-49.6084	-14.1097	52.5009692	n/a
EEG LG 14-Ref	-45.2526	-0.216484	49.36751921	n/a
EEG LG 15-Ref	-38.4822	6.99831	48.68215103	n/a
EEG LG 16-Ref	-39.9463	16.065	43.63041745	n/a
EEG LG 17-Ref	-42.7065	-69.7433	45.80669479	n/a
EEG LG 18-Ref	-46.494	-57.2787	47.32206091	n/a
EEG LG 19-Ref	-50.3945	-48.2365	48.39948038	n/a
EEG LG 20-Ref	-52.1686	-39.7423	48.10625882	n/a
EEG LG 21-Ref	-51.9285	-29.9302	50.81012197	n/a
EEG LG 22-Ref	-52.4662	-20.4319	49.86005798	n/a
EEG LG 23-Ref	-51.5169	-9.10423	46.79621988	n/a
EEG LG 24-Ref	-45.1311	5.45867	45.61106789	n/a
EEG LG 25-Ref	-48.2029	-69.2675	37.98038923	n/a
EEG LG 26-Ref	-52.4559	-57.7572	38.6000364	n/a
EEG LG 27-Ref	-55.2819	-45.7562	39.19710386	n/a
EEG LG 28-Ref	-54.401	-35.1374	38.36632693	n/a
EEG LG 29-Ref	-54.8539	-25.4367	43.20621061	n/a
EEG LG 30-Ref	-57.764	-19.4073	38.80692391	n/a
EEG LG 31-Ref	-57.8131	-10.7366	36.83987996	n/a
EEG LG 32-Ref	-51.8942	2.76145	38.65708534	n/a
EEG LG 33-Ref	-55.4804	-59.4871	29.3630128	n/a
EEG LG 34-Ref	-58.3855	-50.515	30.39857835	n/a
EEG LG 35-Ref	-62.6762	-37.743	28.72607022	n/a
EEG LG 36-Ref	-60.5214	-30.8906	30.14304404	n/a
EEG LG 37-Ref	-57.9765	-21.7957	26.47189812	n/a
EEG LG 38-Ref	-59.237	-8.12585	25.65629228	n/a
EEG LG 39-Ref	-55.9196	2.41723	28.58852119	n/a
EEG LG 40-Ref	-50.0871	13.4508	32.41515656	n/a
EEG LG 41-Ref	-58.3236	-58.747	21.76309378	n/a
EEG LG 42-Ref	-60.977	-47.0885	18.56366799	n/a
EEG LG 43-Ref	-63.6047	-37.0049	17.72012049	n/a
EEG LG 44-Ref	-62.8516	-29.6516	22.11010709	n/a
EEG LG 45-Ref	-60.9376	-17.4794	15.08564031	n/a
EEG LG 46-Ref	-60.2842	-3.89441	15.7986887	n/a
EEG LG 47-Ref	-58.3055	2.97537	20.78773097	n/a
EEG LG 48-Ref	-56.9881	11.3092	16.94475717	n/a
EEG LG 49-Ref	-62.0167	-47.8498	9.343269869	n/a
EEG LG 50-Ref	-64.9339	-38.3575	5.447784944	n/a
EEG LG 51-Ref	-63.4692	-28.3691	8.723170699	n/a
EEG LG 52-Ref	-64.4909	-18.6827	5.030428437	n/a
EEG LG 53-Ref	-61.0321	-4.80296	7.865279141	n/a
EEG LG 54-Ref	-61.5954	3.50178	6.900708876	n/a
EEG LG 55-Ref	-57.9972	12.5505	4.963573854	n/a
EEG LG 56-Ref	-53.8844	16.2074	10.00028883	n/a
EEG LG 57-Ref	-64.252	-48.8468	-0.115746049	n/a
EEG LG 58-Ref	-64.8218	-39.8074	-1.225473915	n/a
EEG LG 59-Ref	-66.1946	-31.9848	-4.950366895	n/a
EEG LG 60-Ref	-66.5572	-22.3939	-9.194841267	n/a
EEG LG 61-Ref	-62.6748	-9.80657	-9.107090497	n/a
EEG LG 62-Ref	-60.1406	3.0216	-1.336743085	n/a
EEG LG 63-Ref	-57.6951	8.56546	-1.303091063	n/a
EEG LG 64-Ref	-56.4368	15.2468	-4.910763357	n/a
EEG LH 01-Ref	-36.1773	-8.47205	-18.61621809	n/a
EEG LH 02-Ref	-41.2537	-7.0292	-19.8455573	n/a
EEG LH 03-Ref	-46.0965	-4.8931	-19.78809713	n/a
EEG LH 04-Ref	-50.9331	-2.9523	-19.81496494	n/a
EEG LIPI 01-Ref	0.29913	-62.6117	21.27264634	n/a
EEG LIPI 02-Ref	0.127185	-64.8323	31.28343247	n/a
EEG LIPI 03-Ref	1.3874	-68.8047	39.54871548	n/a
EEG LIPI 04-Ref	-3.4501	-71.7713	49.85162397	n/a
EEG LIPI 05-Ref	-8.43819	-71.4134	58.58468498	n/a
EEG LIPI 06-Ref	-19.284	-70.8257	61.67012306	n/a
EEG LMPI 01-Ref	2.8021	-60.6918	36.54482753	n/a
EEG LMPI 02-Ref	2.87303	-67.9751	41.39216033	n/a
EEG LMPI 03-Ref	-2.836	-73.0758	49.03474456	n/a
EEG LMPI 04-Ref	-7.49233	-75.5672	55.99208762	n/a
EEG LMPI 05-Ref	-18.5694	-75.6609	55.85480641	n/a
EEG LMPI 06-Ref	-32.9393	-73.6571	54.06344382	n/a
EEG LMST 01-Ref	-28.9156	-14.9143	-35.77943403	n/a
EEG LMST 02-Ref	-39.5783	-18.1889	-39.41713548	n/a
EEG LMST 03-Ref	-49.5985	-18.2777	-35.64718005	n/a
EEG LMST 04-Ref	-59.7671	-16.0369	-31.01292802	n/a
EEG LOI 01-Ref	-15.0321	-103.17	2.347329347	n/a
EEG LOI 02-Ref	-25.2115	-101.112	5.143297794	n/a
EEG LOI 03-Ref	-32.8936	-95.4079	9.098129395	n/a
EEG LOI 04-Ref	-39.4323	-87.4962	13.63570849	n/a
EEG LOI 05-Ref	-45.7573	-80.4225	17.60156994	n/a
EEG LOI 06-Ref	-52.8984	-71.2236	21.38391316	n/a
EEG LPF 01-Ref	-52.5379	36.1016	-7.601094411	n/a
EEG LPF 02-Ref	-53.8062	24.8038	3.874330206	n/a
EEG LPF 03-Ref	-53.9551	20.2694	5.026479948	n/a
EEG LPF 04-Ref	-54.6382	14.9096	9.294683615	n/a
EEG LPST 01-Ref	-41.1025	-42.8715	-26.45154197	n/a
EEG LPST 02-Ref	-49.7926	-46.7974	-28.78392432	n/a
EEG LPST 03-Ref	-59.0669	-45.0106	-26.63837438	n/a
EEG LPST 04-Ref	-65.5704	-42.9732	-17.08163786	n/a
EEG RRPT 01-Ref	40.9067	-87.8577	14.1798359	n/a
EEG RRPT 02-Ref	48.3778	-80.057	9.523666322	n/a
EEG RRPT 03-Ref	55.645	-71.5529	3.891014343	n/a
EEG RRPT 04-Ref	60.7439	-64.1273	0.005658296	n/a
EEG RRPT 05-Ref	65.2546	-55.0342	-1.467297648	n/a
EEG RRPT 06-Ref	68.0575	-46.2193	-4.556762811	n/a
EEG RSPI 03-Ref	-0.626332	25.4107	55.34379306	n/a
EEG RSPI 04-Ref	-4.89965	27.0036	61.39629252	n/a
EEG RSPI 05-Ref	-14.8393	23.5065	62.62535284	n/a
EEG RSPI 06-Ref	-21.6402	17.735	59.09157627	n/a
